name,city,district,address,phone,email,source_url,verify,hook,notes
四季北屯教育事業股份有限公司附設臺中市私立北屯四季藝術幼兒園,臺中市,北屯區,臺中市北屯區平和里4鄰旅順路一段208號,(04)22433333#504,school@seasonart.org,https://seasonarts.org/,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,官網掃到 1 個公開信箱
臺中市北屯區仁愛國民小學附設幼兒園,臺中市,北屯區,臺中市北屯區仁愛里17鄰四平路71號,(04)22923861#124,raes732@msa.raes.tc.edu.tw,https://raes.tc.edu.tw,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 2 個公開信箱；信箱取自附設國小／園所官網聯絡頁，非猜箱。
臺中市北屯區北屯國民小學附設幼兒園,臺中市,北屯區,臺中市北屯區北京里7鄰進化北路2號,(04)22332110#900,linsc@st.tc.edu.tw,https://ptes.tc.edu.tw,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 2 個公開信箱；信箱取自附設國小／園所官網聯絡頁，非猜箱。
臺中市北屯區四張犁國民小學附設幼兒園,臺中市,北屯區,臺中市北屯區仁和里14鄰后庄路910號,(04)24227046#791,barbu@jres.tc.edu.tw,https://jres.tc.edu.tw,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 1 個公開信箱；信箱取自附設國小／園所官網聯絡頁，非猜箱。
臺中市私立一畝田幼兒園,臺中市,北屯區,臺中市北屯區軍功里3鄰軍功路二段806號,(04)22397585,s9363611@yahoo.com.tw,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
臺中市私立北屯吉貝兒幼兒園,臺中市,北屯區,臺中市北屯區松和里21鄰松竹路二段299號,(04)22449088,cynthia2789@yahoo.com.tw,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
臺中市私立北屯格瑞特幼兒園,臺中市,北屯區,"臺中市北屯區松茂里5鄰松竹北路236號1,2,3樓",(04)22413133,aii73891026@yahoo.com.tw,http://www.great236.com/,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,官網掃到 1 個公開信箱
臺中市私立吉兒寶幼兒園,臺中市,北屯區,臺中市北屯區平昌里9鄰天津路四段219號,(04)22380088,anita_4841@yahoo.com.tw,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
臺中市私立娃得福幼兒園,臺中市,北屯區,臺中市北屯區水景里1鄰松竹五路二段81號,(04)24373360,taichungwaldorf@gmail.com,https://www.taichungwaldorf.com.tw/,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,官網掃到 1 個公開信箱
臺中市私立育仟幼兒園,臺中市,北屯區,臺中市北屯區軍功里18鄰軍和街87號,(04)24362355,yuh.chain@msa.hinet.net,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
